,id,titulo,moneda,precio_usado,marca,modelo,version,condicion,anio_vehiculo,kilometraje,potencia,transmision,control_traccion,tipo_combustible,puertas,aire_acondicionado,color,tienda_oficial,id_seller,nickname,fecha_baja_publicacion,tipo_anuncio,enlace_publicacion,cat_kilometros,segmento_economico,precio_nuevo,depreciacion
0,MLU687042826,Byd E2 Amaya Motors,USD,27990.0,BYD,New E2,0.0 Gs At,Usado,2024,2500,93 hp,Automática,Delantera,Eléctrico,5,aire_acondicionado_no_especificado,Gris,Tienda no oficial,174345530,AMAYA PEUGEOT,2024-11-12T04:00:00.000Z,gold,https://auto.mercadolibre.com.uy/MLU-687042826-byd-e2-amaya-motors-_JM,Como nuevo,Gama media,28990.0,3.449465332873405
1,MLU687430608,Byd E2 Gs Dolphin !!! Como Nuevo !!!,USD,27500.0,BYD,New E2,0.0 Gs At,Usado,2024,11000,93 hp,Automática,Delantera,Eléctrico,5,Sí,Gris,Tienda no oficial,54962108,PEREIRA AUTOMOVILES,2024-11-16T04:00:00.000Z,silver,https://auto.mercadolibre.com.uy/MLU-687430608-byd-e2-gs-dolphin-como-nuevo--_JM,Como nuevo,Gama media,28990.0,5.139703345981373
2,MLU687068542,Byd E2 Gs,USD,27990.0,BYD,New E2,0.0 Gs At,Usado,2024,2700,93 hp,Automática,Delantera,Eléctrico,5,aire_acondicionado_no_especificado,Gris,Tienda no oficial,1220030869,AMAYAPEUGEOT DELACOSTA,2024-11-12T04:00:00.000Z,silver,https://auto.mercadolibre.com.uy/MLU-687068542-byd-e2-gs-_JM,Como nuevo,Gama media,28990.0,3.449465332873405
3,MLU687060722,Byd E2,USD,27990.0,BYD,New E2,0.0 Gs At,Usado,2024,2700,93 hp,Automática,Delantera,Eléctrico,5,aire_acondicionado_no_especificado,Gris,Tienda no oficial,747336689,AMAYASELECCIONADOS,2024-11-12T04:00:00.000Z,silver,https://auto.mercadolibre.com.uy/MLU-687060722-byd-e2-_JM,Como nuevo,Gama media,28990.0,3.449465332873405
4,MLU687369016,Byd New E2 2024 0.0 Gs At,USD,27300.0,BYD,New E2,0.0 Gs At,Usado,2024,11700,93 hp,Automática,Delantera,Eléctrico,5,aire_acondicionado_no_especificado,color_no_especificado,Tienda no oficial,146878453,SABE1996,2024-08-19T04:00:13.751Z,silver,https://auto.mercadolibre.com.uy/MLU-687369016-byd-new-e2-2024-00-gs-at-_JM,Como nuevo,Gama media,28990.0,5.829596412556054
5,MLU686571566,Byd New E2 2024 0.0 Gs At,USD,26800.0,BYD,New E2,0.0 Gs At,Usado,2024,6000,93 hp,Automática,Delantera,Eléctrico,5,aire_acondicionado_no_especificado,color_no_especificado,Tienda no oficial,116453706,ACU ARIUS,2024-08-10T04:00:00.000Z,free,https://auto.mercadolibre.com.uy/MLU-686571566-byd-new-e2-2024-00-gs-at-_JM,Como nuevo,Gama media,28990.0,7.554329078992756
6,MLU687399368,Suzuki Alto 800 Std Full Año 2019,USD,7900.0,Suzuki,Alto 800,0.8 Std,Usado,2019,41435,potencia_no_especificado,Manual,control_traccion_no_especificado,Nafta,5,Sí,Rojo,Shopping de Autos,164934290,SHOPPINGDEAUTOS,2025-07-22T04:00:00.000Z,gold_premium,https://auto.mercadolibre.com.uy/MLU-687399368-suzuki-alto-800-std-full-ano-2019-_JM,Pocos kilometraje,Gama baja,10400.0,24.03846153846154
7,MLU687464366,Suzuki Alto 800 Std Full Año 2019,USD,7900.0,Suzuki,Alto 800,0.8 Std,Usado,2019,41435,potencia_no_especificado,Manual,control_traccion_no_especificado,Nafta,5,Sí,Rojo,Shopping de Autos,164934290,SHOPPINGDEAUTOS,2025-07-22T04:00:00.000Z,gold_premium,https://auto.mercadolibre.com.uy/MLU-687464366-suzuki-alto-800-std-full-ano-2019-_JM,Pocos kilometraje,Gama baja,10400.0,24.03846153846154
8,MLU685222712,Suzuki Celerio Extra Full,USD,9300.0,Suzuki,Celerio,1.0 Ga 5p,Usado,2011,132229,potencia_no_especificado,Manual,control_traccion_no_especificado,Nafta,5,Sí,Gris,Shopping de Autos,166048088,SHOPPINGDEAUTOS01,2025-07-01T04:00:00.000Z,gold_premium,https://auto.mercadolibre.com.uy/MLU-685222712-suzuki-celerio-extra-full-_JM,Bastante kilometraje,Gama media,17790.0,47.72344013490725
9,MLU682237602,Suzuki Dzire Gl Año 2019 Retira Con 8.990 Y Financia,USD,8990.0,Suzuki,Dzire,Gl,Usado,2019,80000,potencia_no_especificado,Manual,Delantera,Nafta,5,Sí,Plateado,Tienda no oficial,327476360,JUNCALAUTOMOVILES,2024-10-09T04:00:00.000Z,gold_premium,https://auto.mercadolibre.com.uy/MLU-682237602-suzuki-dzire-gl-ano-2019-retira-con-8990-y-financia-_JM,Moderado kilometraje,Gama media,18690.0,51.89941144997324
